word	furigana	meaning
買う	かう	사다, 구입하다
買い物	かいもの	장보기, 쇼핑
代金	だいきん	대금, 요금, 금액
違う	ちがう	다르다
毎回	まいかい	매번
一カ所	いっかしょ	한 곳, 한군데
多く	おおく	많이
時間内	じかんない	시간 내
網戸	あみど	방충망
石鹸水	せっけんすい	비눗물
伝線	でんせん	올이 나가다
臨時	りんじ	임시
～に過ぎない	～にすぎない	~에 지나지 않다
週	しゅう	주 (이번 주~)
一度	いちど	한번
月収	げっしゅう	월 수입
換算	かんさん	환산
続ける	つづける	계속하다
希望	きぼう	희망
叶う	かなう	이루다, 희망대로 되다
懸命に	けんめいに	열심히, 최선을 다해서
働く	はたらく	일하다
気づく	きづく	깨닫다, 알아차리다
努力	どりょく	노력
頑張る	がんばる	열심히 하다
大切	たいせつ	중요
流儀	りゅうぎ	방법, 방식, 스타일
