word	furigana	meaning
次	つぎ	다음
適当	てきとう	적당, 대충
勢い	いきおい	기세
普通	ふつう	보통, 평범
お嬢さん	おじょうさん	따님, 아가씨
古風	こふう	고지식하다, 옛날 식
冗談	じょうだん	농담
冷静	れいせい	냉정
正直に	しょうじきに	확실히
台詞	せりふ	대사, 말
通用	つうよう	통용
確かに	たしかに	확실히
両親	りょうしん	부모님
前時代的	ぜんじだいてき	전시대적
