word	meaning
～に決まっている	~임이 당연히다, ~이기 마련이다, ~인 것으로 정해져 있다
～こと	~할 것
～なら	~이라면 (조건)
～なさい	~하시오(하렴)
～つもりだ	~할 생각이다, ~할 예정이다
～なければならない	~하지 않으면 안 된다, ~해야만 한다
～すぎる	지나치게 ~하다
～ずに	~하지 않고
～なりに	~나름대로
～だって	그래도, ~일지라도, ~그럴 것이, 그런데, 왜냐하면 (=でも)
～じゃん	~잖아!
ありがたい	감사하다, 송구스럽다, 기쁘다, 행복하다
～みたいだ	~인 듯하다, ~인 것 같다 (=ようだ)
～なさる	する의 경어체
～かもしれない	~일지도 모른다, ~일 가능성이 있다
～にとって	~에게, ~에게 있어서, ~의 입장에서는
～にすぎない	~에 지나지 않는다, ~에 불과하다, 조금 ~할 뿐이다
～たところで	~해봤자, ~한다고 해도
～わけではない	~했던 것은 아니다, 꼭 ~인 것은 아니다
～としても	~라고 하더라도, ~라고 해도
