word	furigana	meaning
口頭	こうとう	구두, 입으로 말함
失敗	しっぱい	실패
伝える	つたえる	전달하다
繰り返す	くりかえす	반복하다
新しい	あたらしい	새롭다
お腹すいた	おなかすいた	배고프다
情報	じょうほう	정보
結婚	けっこん	결혼
正しい	ただしい	옳다, 맞다, 바르다
自分	じぶん	나, 스스로, 혼자
決る	きまる	정해지다, 결정되다
双方	そうほう	쌍방
知る	しる	알다
同意	どうい	동의
言い方	いいかた	말투
面倒	めんどう	귀찮음, 성가심
間違う	まちがう	틀리다, 잘못되다
増える	ふえる	늘다
自覚	じかく	자각
一緒	いっしょ	함께
訂正	ていせい	정정
好きだ	すきだ	좋아하다
連絡	れんらく	연락
楽しい	たのしい	즐겁다
覚える	おぼえる	기억하다
困る	こまる	곤란하다
反省	はんせい	반성
買う	かう	사다, 구매하다
二度と	にどと	두번 다시, 다시는
戻る	もどる	되돌아가다
