word	furigana	meaning
分かる	わかる	알다, 이해하다
詮索	せんさく	물어보고 알아내려 함, (정보를) 캐내다
奥様	おくさま	부인, 사모님, 안주인
同情	どうじょう	동정
魔女	まじょ	마녀
幸せ	しあわせ	행복하다
古い	ふるい	오래되다, 낡다
毎日	まいにち	매일
深い	ふかい	깊다
楽しい	たのしい	즐겁다
考える	かんがえる	생각하다
仕事	しごと	일
未婚	みこん	미혼
任す	まかす	맡기다
生きやすい	いきやすい	살기 편하다/쉽다
部下	ぶか	부하
歳	とし	나이
教育	きょういく	교육
原因	げんいん	원인
嬉しい	うれしい	기쁘다, (감사하다)
