word	furigana	meaning
次	つぎ	다음
適当	てきとう	적당, 대충
勢い	いきおい	기세
普通	ふつう	보통, 평범
お嬢さん	おじょうさん	따님, 아가씨
古風	こふう	고지식하다, 옛날 식
冗談	じょうだん	농담
冷静	れいせい	냉정
正直に	しょうじきに	확실히
台詞	せりふ	대사, 말
通用	つうよう	통용
確かに	たしかに	확실히
両親	りょうしん	부모님
前時代的	ぜんじだいてき	전시대적
サボる		수업에 빠지는 것, 땡땡이
ググる		구글에 검색하다
ヤフる		야후에 검색하다
メモる		메모하다
コピる		복사하다
ダブる		중복되다
ハモる		조화를 이루다
パニクる		패닉에 빠지다
バズる		SNS에서 주목받거나 말이 퍼지다
